Issue Type,Summary,Epic Name,Epic Link,Story ID,Description,Labels,Fix Version/s
Story,RFQ3 — Choose Direct vs Open Bidding,,ESA-RFQ,RFQ3,"As a buyer, I can send RFQ directly to suppliers or open for bidding.

Acceptance Criteria:
- Direct: pick supplier(s) by ID; send invitations.
- Open: RFQ appears in “Open RFQs” feed for approved suppliers.
- Deadlines supported.","e,phase-1-core-procurement,rfq,story",Phase 1 - Core Procurement
Story,RFQ4 — Attach special instructions & files,,ESA-RFQ,RFQ4,"As a buyer, I can add notes and supporting files.

Acceptance Criteria:
- Notes visible to recipients.
- Files downloadable only by authorized users.","e,phase-1-core-procurement,rfq,story",Phase 1 - Core Procurement
Story,RFQ5 — Save RFQ as draft,,ESA-RFQ,RFQ5,"As a buyer, I can save an RFQ draft and continue later.

Acceptance Criteria:
- draft appears in RFQ list with Draft status; can edit and publish/send later.","e,phase-1-core-procurement,rfq,story",Phase 1 - Core Procurement
Story,RFQ6 — Edit a sent RFQ (restricted) (optional if you built it),,ESA-RFQ,RFQ6,"As a buyer, I can edit certain fields before any quotes are received (or only extend deadline
once quotes exist).

Acceptance Criteria:
- rules enforced; suppliers notified if changes affect them.","e,phase-1-core-procurement,rfq,story",Phase 1 - Core Procurement
Epic,[RFQM] RFQ Management (Buyer & Supplier),ESA-RFQM,,,,"phase-1-core-procurement,rfq",Phase 1 - Core Procurement
Story,RFQM1 — Sent RFQs (Buyer),,ESA-RFQM,RFQM1,"As a buyer, I can list my sent RFQs.

Acceptance Criteria:
- Columns: RFQ #, type, status, deadline, responses count.
- Search + filters; pagination.
- Row opens “RFQ Sent Details”.","f,phase-1-core-procurement,rfq,story",Phase 1 - Core Procurement
Story,RFQM2 — Received RFQs (Supplier),,ESA-RFQM,RFQM2,"As a supplier, I can list RFQs received.

Acceptance Criteria:
- Columns: RFQ #, buyer, deadline, status (Not Quoted/Quoted/Declined).
- Search + filters; pagination.
- Row opens “RFQ Received Details”.","f,phase-1-core-procurement,rfq,story",Phase 1 - Core Procurement
Story,RFQM3 — Open RFQs (Supplier),,ESA-RFQM,RFQM3,"As a supplier, I can browse open/bidding RFQs.

Acceptance Criteria:
- List of open RFQs.
- Only visible to approved suppliers.
- “Bid / View Details” actions.","f,phase-1-core-procurement,rfq,story",Phase 1 - Core Procurement
Story,RFQM4 — RFQ details (Buyer view),,ESA-RFQM,RFQM4,"As a buyer, I can see RFQ details with responses.

Acceptance Criteria:
- RFQ metadata, attachments, notes.
- Table of supplier responses (price, lead time, notes, files).
- Link to compare view.","f,phase-1-core-procurement,rfq,story",Phase 1 - Core Procurement
Story,RFQM5 — RFQ details (Supplier view),,ESA-RFQM,RFQM5,"As a supplier, I can see details and choose to quote or decline.

Acceptance Criteria:
- CAD/file access if authorized.
- Quote/decline actions available before deadline.","f,phase-1-core-procurement,rfq,story",Phase 1 - Core Procurement
Epic,[QUO] Quotes (Supplier submission & Buyer comparison),ESA-QUO,,,,"phase-1-core-procurement,quotes",Phase 1 - Core Procurement
Story,QUO1 — Submit quote,,ESA-QUO,QUO1,"As a supplier, I can submit a formal quote.

Acceptance Criteria:
- Fields: unit price (currency), lead time, remarks; optional attachments.
- Validation; status changes to Quoted for that supplier.
- Buyer sees it immediately.","g,phase-1-core-procurement,quotes,story",Phase 1 - Core Procurement
Story,QUO2 — Decline quote,,ESA-QUO,QUO2,"As a supplier, I can decline an RFQ.

Acceptance Criteria:
- Marked “Declined”.
- Buyer sees decline reason (optional).","g,phase-1-core-procurement,quotes,story",Phase 1 - Core Procurement
Story,QUO3 — Compare quotes,,ESA-QUO,QUO3,"As a buyer, I can compare quotes side-by-side.

Acceptance Criteria:
- Comparison grid: supplier, price, lead time, notes, files.
- Sorting by price/lead-time.","g,phase-1-core-procurement,quotes,story",Phase 1 - Core Procurement
Story,QUO4 — Accept a quote,,ESA-QUO,QUO4,"As a buyer, I can accept one quote to proceed.

Acceptance Criteria:
- Accept action marks the winning quote.
- Triggers PO creation flow.","g,phase-1-core-procurement,quotes,story",Phase 1 - Core Procurement
Story,QUO5 — Withdraw a submitted quote,,ESA-QUO,QUO5,"As a supplier, I can withdraw my quote before the deadline (and if not awarded), so I can
correct mistakes.

Acceptance Criteria:
- status becomes Withdrawn; buyer sees it; optional reason; audit logged.","g,phase-1-core-procurement,quotes,story",Phase 1 - Core Procurement
Story,QUO6 — Revise/resubmit a quote (versioning),,ESA-QUO,QUO6,"As a supplier, I can revise my quote (price/lead time/notes/files) and resubmit before deadline.

Acceptance Criteria:
- version history kept; buyer sees latest + “view history”; compare uses latest by default.","g,phase-1-core-procurement,quotes,story",Phase 1 - Core Procurement
Story,QUO7 — Buyer can view quote revision history,,ESA-QUO,QUO7,"As a buyer, I can view all versions of a supplier’s quote and when they changed.

Acceptance Criteria:
- timestamp + changed fields; files tracked; audit.","g,phase-1-core-procurement,quotes,story",Phase 1 - Core Procurement
Story,QUO8 — Award selected RFQ lines,,ESA-QUO,QUO8,"As a buyer, I can award individual lines to one (or multiple) suppliers.

Acceptance Criteria:
- each line has awarded supplier + awarded qty; supports split awards.","g,phase-1-core-procurement,quotes,story",Phase 1 - Core Procurement
Story,QUO9 — Buyer can see supplier participation state per RFQ,,ESA-QUO,QUO9,"As a buyer, I can see which suppliers are Not Quoted / Quoted / Declined for a sent
RFQ.","g,phase-1-core-procurement,quotes,story",Phase 1 - Core Procurement
Story,QUO10 — Supplier can see their response state clearly,,ESA-QUO,QUO10,"As a supplier, I can see whether I already quoted/declined in the RFQ details page.","g,phase-1-core-procurement,quotes,story",Phase 1 - Core Procurement
Epic,[PO] Purchase Orders & Orders,ESA-PO,,,,"orders,phase-1-core-procurement,purchase-orders",Phase 1 - Core Procurement
Story,PO1 — Purchase Orders index (Buyer),,ESA-PO,PO1,"As a buyer, I can view my POs.

Acceptance Criteria:
- Columns: PO #, supplier, total, status, date.
- Search + filters; pagination.
- Row opens PO details.","h,orders,phase-1-core-procurement,purchase-orders,story",Phase 1 - Core Procurement
Story,PO2 — Purchase Order detail (Buyer),,ESA-PO,PO2,"As a buyer, I can view PO details.

Acceptance Criteria:
- Shows items, qty, unit price/total, supplier info, status timeline.
- Links back to RFQ/quote.","h,orders,phase-1-core-procurement,purchase-orders,story",Phase 1 - Core Procurement
Story,PO3 — Orders: Requested (Buyer),,ESA-PO,PO3,"As a buyer, I can see requested orders and their status.

Acceptance Criteria:
- Orders page for requested orders.
- Status: Pending/Confirmed/In Production/Delivered/Cancelled.","h,orders,phase-1-core-procurement,purchase-orders,story",Phase 1 - Core Procurement
Story,PO4 — Orders: Received (Supplier),,ESA-PO,PO4,"As a supplier, I can see orders I’ve received.

Acceptance Criteria:
- Orders page for supplier side.
- Same status lifecycle visibility.","h,orders,phase-1-core-procurement,purchase-orders,story",Phase 1 - Core Procurement
Story,PO5 — Buyer can create a PO from an accepted quote,,ESA-PO,PO5,"As a buyer, I can convert the accepted quote into a Purchase Order, so that procurement is
formalized.

Acceptance Criteria:
- “Create PO” is available after quote acceptance.
- PO contains supplier, items, price, lead time, attachments/notes from quote.
- PO status starts as “Issued” (or equivalent).","h,orders,phase-1-core-procurement,purchase-orders,story",Phase 1 - Core Procurement
Story,PO6 — Supplier can view PO details,,ESA-PO,PO6,"As a supplier, I can open a received PO detail page, so I can review what was ordered.

Acceptance Criteria:
- Supplier sees PO line items, totals, delivery dates, attachments.
- Supplier only sees POs addressed to their company.","h,orders,phase-1-core-procurement,purchase-orders,story",Phase 1 - Core Procurement
Story,PO7 — Supplier can update fulfillment status of an order,,ESA-PO,PO7,"As a supplier, I can update order status (Confirmed → In Production → Shipped/Delivered), so
the buyer can track progress.

Acceptance Criteria:
- Status update actions exist on order detail.
- Status changes are logged/audited.
- Buyer sees the updated status immediately.","h,orders,phase-1-core-procurement,purchase-orders,story",Phase 1 - Core Procurement
Story,PO8 — Buyer can view order details,,ESA-PO,PO8,"As a buyer, I can open an Order detail page from Orders Requested, so I can see timeline,
items, and supplier updates.

Acceptance Criteria:
- Shows order timeline/history and current status.
- Shows linked PO/RFQ/Quote if applicable.","h,orders,phase-1-core-procurement,purchase-orders,story",Phase 1 - Core Procurement
Story,PO9 — Create PO(s) from awarded lines,,ESA-PO,PO9,"As a buyer, I can convert awarded lines into one or multiple POs grouped by supplier.

Acceptance Criteria:
- creates separate PO per supplier; totals correct; links back to RFQ/awards.","h,orders,phase-1-core-procurement,purchase-orders,story",Phase 1 - Core Procurement
Story,PO10 — Buyer sends PO to supplier,,ESA-PO,PO10,"As a buyer, I can send a PO to the supplier (in-app notification + email + optional PDF link).

Acceptance Criteria:
- PO moves to “Sent” (or equivalent); delivery recorded (timestamp/channel).","h,orders,phase-1-core-procurement,purchase-orders,story",Phase 1 - Core Procurement
Story,PO11 — Supplier acknowledges PO (accept/decline),,ESA-PO,PO11,"As a supplier, I can accept or decline a PO with an optional reason.

Acceptance Criteria:
- PO/SO status updates; buyer notified; audit logged; decline prevents shipments/invoicing.","h,orders,phase-1-core-procurement,purchase-orders,story",Phase 1 - Core Procurement
Story,PO12 — Buyer sees acknowledgement status,,ESA-PO,PO12,"As a buyer, I can see whether the supplier accepted/declined and when.

Acceptance Criteria:
- visible on PO detail + timeline; filters in PO list.","h,orders,phase-1-core-procurement,purchase-orders,story",Phase 1 - Core Procurement
Epic,[INVT] Invitations & Team,ESA-INVT,,,Management,"phase-1-core-procurement,team",Phase 1 - Core Procurement
Story,INVT1 — Invite users to company,,ESA-INVT,INVT1,"As an owner/admin, I can invite teammates.

Acceptance Criteria:
- Invite by email + assign role (buyer/supplier/finance).
- Email invite with token; joining attaches user to company.","i,phase-1-core-procurement,story,team",Phase 1 - Core Procurement
Story,INVT2 — Block supplier-role invites until approved,,ESA-INVT,INVT2,"As the system, I prevent supplier-role invites unless company is an approved supplier.

Acceptance Criteria:
- Attempt to invite supplier_admin/supplier_estimator before approval → 422 with message.","i,phase-1-core-procurement,story,team",Phase 1 - Core Procurement
Story,INVT3 — Manage members,,ESA-INVT,INVT3,"As an owner/admin, I can list/remove/change roles.

Acceptance Criteria:
- Member list with role, last active.
- Role change controls gated by permissions.","i,phase-1-core-procurement,story,team",Phase 1 - Core Procurement
Story,INVT4 — Manage pending invitations (resend/revoke),,ESA-INVT,INVT4,"As an owner/admin, I can view pending invites, resend them, or revoke them, so onboarding is
controllable.

Acceptance Criteria:
- “Pending invites” list with invited email, role, invited_at, invited_by, status.
- Resend sends a new email and updates “last_sent_at”.
- Revoke invalidates token immediately; invite becomes “revoked”.
- Actions are audit-logged.","i,phase-1-core-procurement,story,team",Phase 1 - Core Procurement
Story,INVT5 — Invitation expiry + invalid token handling,,ESA-INVT,INVT5,"As the system, invitations expire and users get a clear recovery path.

Acceptance Criteria:
- Invite tokens expire after configurable time (e.g., 7 days).
- Visiting expired token shows friendly screen with “Request new invite”.
- Expired/revoked token cannot be used to join.
- Admin can resend to generate a fresh token.","i,phase-1-core-procurement,story,team",Phase 1 - Core Procurement
Story,INVT6 — Join requests queue (for domain join + general access request),,ESA-INVT,INVT6,"As an owner/admin, I can approve/deny “request to join company” requests, so join-by-domain
is complete.

Acceptance Criteria:
- Admin sees a “Join requests” queue with requester email, domain, requested role (optional), reason.
- Approve attaches membership + role; deny records reason.
- Requester is notified of outcome.
- Audit logged.","i,phase-1-core-procurement,story,team",Phase 1 - Core Procurement
Epic,"[DOC] Files, Docs & KYC",ESA-DOC,,,,"documents,files,phase-1-core-procurement",Phase 1 - Core Procurement
Story,DOC1 — Upload company documents (KYC),,ESA-DOC,DOC1,"As an owner, I can upload KYC docs.

Acceptance Criteria:
- Types (tax cert, ISO, bank letter, ESG report, other).
- Metadata: issued/expires/verified.
- Secure storage & access control.","documents,files,j,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,DOC2 — Doc expiry management (baseline),,ESA-DOC,DOC2,"As the system, I record expiry and surface warnings.

Acceptance Criteria:
- Near-expiry banner on settings.
- (Future: auto-suspend supplier if critical docs expire—tracked as next phase.)","documents,files,j,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,DOC3 — RFQ/Quote attachments (secure),,ESA-DOC,DOC3,"As the system, I secure RFQ/quote files.

Acceptance Criteria:
- Only authorized users can download.
- Logged access (who/when).","documents,files,j,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,DOC4 — KYC document verification actions,,ESA-DOC,DOC4,"As a super admin/reviewer, I can mark KYC documents as verified/rejected with notes.

Acceptance Criteria:
- approval decision.","documents,files,j,phase-1-core-procurement,story",Phase 1 - Core Procurement
Epic,[ADM] Admin Console,ESA-ADM,,,,"admin,phase-1-core-procurement",Phase 1 - Core Procurement
Story,ADM1 — Supplier application review queue,,ESA-ADM,ADM1,"As a super admin, I can manage all supplier applications.

Acceptance Criteria:
- Filter by status (pending/approved/rejected).
- Search by company.
- Approve/Reject with reason; email notifications.","admin,k,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ADM2 — Governance flags on companies,,ESA-ADM,ADM2,"As a super admin, I can set visibility and governance fields.

Acceptance Criteria:
- Toggle directory visibility.
- View/edit supplier_status reason notes.","admin,k,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ADM3 — Tenant plan/features matrix (admin),,ESA-ADM,ADM3,"As a super admin (or tenant admin if you prefer), I can view/edit plan feature flags and limits.

Acceptance Criteria:
- matrix UI; validations; reduces require confirmation; audit logged.","admin,k2,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ADM4 — Roles & permissions editor (admin),,ESA-ADM,ADM4,"As an admin, I can manage role permission sets.

Acceptance Criteria:
- prevents removing last admin capability; audit logged.","admin,k2,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ADM5 — API Keys management,,ESA-ADM,ADM5,"As an admin, I can create/revoke API keys with scopes.

Acceptance Criteria:
- plaintext token shown once; last used shown; revoke confirm.","admin,k2,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ADM6 — Webhooks endpoint management,,ESA-ADM,ADM6,"As an admin, I can create/update/delete webhook endpoints, rotate secrets, and send test
events.

Acceptance Criteria:
- https-only; secret rotation invalidates old signature; test event supported.","admin,k2,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ADM7 — Webhook delivery logs + retry/DLQ,,ESA-ADM,ADM7,"As an admin, I can view webhook delivery history and retry failed deliveries (and replay DLQ if
present).

Acceptance Criteria:
- filters, status, attempt count, response code/latency; retry action.","admin,k2,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ADM8 — Rate limit rules editor,,ESA-ADM,ADM8,"As an admin, I can view/update per-scope rate limit rules.

Acceptance Criteria:
- window + max req; immediate apply; audit logged.","admin,k2,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ADM9 — Audit log viewer,,ESA-ADM,ADM9,"As an admin, I can filter and export audit logs (CSV).

Acceptance Criteria:
- filters by actor/event/resource/date; pagination; export.","admin,k2,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ADM10 — Start impersonation,,ESA-ADM,ADM10,"As a super admin, I can impersonate a tenant admin/user to troubleshoot issues.

Acceptance Criteria:
- Only super admins can impersonate; action available from admin console.
- When impersonating:
- Banner clearly shows “Impersonating: [user@company]”.
- All actions are logged against the impersonated user, but audit log notes “performed via impersonation by [super admin]”.","admin,k2,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ADM11 — Stop impersonation,,ESA-ADM,ADM11,"As a super admin, I can easily return to my own account with one click.

Acceptance Criteria:
- “Stop impersonation” button in header/banner.
- Session immediately returns to original super admin identity.
- Start/stop events are audit-logged.","admin,k2,phase-1-core-procurement,story",Phase 1 - Core Procurement
Epic,"[UX] Navigation, UX & Feedback",ESA-UX,,,,"phase-1-core-procurement,ux",Phase 1 - Core Procurement
Story,UX1 — Role/context-aware sidebar,,ESA-UX,UX1,"As a user, I see only relevant menu items.

Acceptance Criteria:
- Buyers: Request Quote, RFQs (Sent), Suppliers (Directory), Orders Requested, Purchase Orders.
- Suppliers (approved): RFQs (Received), Open RFQs, Orders Received.
- Settings: Company, Supplier Profile/Visibility.
- Admin: Supplier Review.","l,phase-1-core-procurement,story,ux",Phase 1 - Core Procurement
Story,UX2 — Empty states & errors,,ESA-UX,UX2,"As a user, I get helpful empty/error states.

Acceptance Criteria:
- All lists show empty-state messages with CTA where applicable.
- Validation and server errors shown inline and non-blocking.","l,phase-1-core-procurement,story,ux",Phase 1 - Core Procurement
